Ticker,CIK
AFL,4977
AFMI,1336654
AFOP,1122342
AFP,65358
AFPC,319126
AFR,1193558
AFSI,1365555
AFSN,1355677
AFT,1502573
AFVS,1167868
AGAM,1421419
AGAS,1016900
AGBG,842289
AGC,1391461
AGCC,1052163
AGCO,880266
AGD,1006030
AGD,1362481
AGDI,1330323
AGE,718482
AGEL,1084122
AGEN,1098972
AGGX,1085596
AGH,811828
AGII,800082
AGII,1091748
AGIL,1088653
AGIN,1497316
AGIO,1439222
AGIS,778426
AGIX,1107601
AGL,6571
AGM,845877
AGMB,725752
AGMG,1030699
AGMN,1072816
AGMX,820757
AGN,850693
AGNC,1423689
AGNM,1104502
AGNT,1112880
AGO,1273813
AGP,1064863
AGR,1129446
AGRC,726293
AGRD,1101752
AGRT,1352858
AGRX,1139029
AGSI,1183075
AGSM,1310497
AGSX,1321366
AGTA,1091294
AGWS,1369608
AGWT,1020676
AGX,100591
AGXM,1167887
AGY,895385
AGYS,78749
AH,845752
AH,1472595
AHC,1413898
AHCI,890634
AHFP,945634
AHG,882289
AHGP,1344980
AHH,1256536
AHH,1297178
AHH,1569187
AHI,909950
AHII,1372813
AHL,1267395
AHMH,1089504
AHMR,1158702
AHN,720480
AHNC,911115
AHNR,1304409
AHOM,879181
AHP,1574085
AHPI,874710
AHR,1050112
AHR,1175596
AHRO,1377053
AHS,1142750
AHT,1232582
AIA,724533
AIC,1282552
AICIQ,74783
AICO,27425
AICX,816066
AIDA,1220286
AIDO,1005356
AIDP,1089799
AIF,1526697
AIG,5272
AIH,46653
AII,753281
AIJ,784014
AIK,811437
AIM,109471
AIMC,1374535
AIMM,879106
AIN,819793
AINN,798399
AINV,1278752
AIQ,817135
AIR,1750
AIR,1135185
AIRM,816159
AIRN,1105542
AIRT,353184
AIRV,1116435
AIRW,1500123
AIT,109563
AITX,1081372
AIV,922864
AIVI,1471302
AIVN,5656
AIZ,1267238
AJAYP,854858
AJG,354190
AJGI,1394108
AJSB,1144515
AJSB,1576336
AKAM,1086222
AKER,1321834
AKES,1042420
AKLM,804888
AKP,1162028
AKPB,1081860
AKR,899629
AKRK,1104040
AKRN,3116
AKS,918160
AKSY,902600
AKVA,1191359
AKYI,1460685
AL,1487712
ALAB,926966
ALAN,98618
ALB,915913
ALBA,1310817
ALBY,1074369
ALC,929994
ALCD,708484
ALCI,3642
ALCO,3545
ALD,3906
ALDA,902272
ALDM,1358652
ALDW,1556766
ALE,66756
ALEX,1545654
ALFA,743532
ALFC,1172095
ALFE,1187449
ALG,897077
ALGI,8855
ALGN,1097149
ALGT,1362468
ALHC,1087216
ALIF,1070361
ALIM,1267602
ALJ,1325955
ALK,766421
ALKS,874663
ALKS,1520262
ALL,899051
ALLB,1373079
ALLB,1500711
ALLC,1045260
ALLI,847935
ALLN,1020391
ALLP,736994
ALLT,1365767
ALM,93730
ALME,1360334
ALMG,1100542
ALMN,1343957
ALMO,1140188
ALN,3721
ALN,1117057
ALNC,796317
ALNY,1178670
ALO,730469
ALOD,1211524
ALOG,6284
ALOT,8146
ALOY,1080359
ALPE,1092807
ALPH,1002132
ALPN,1128227
ALPPRN,3153
ALQA,1054274
ALR,1145460
ALRC,920521
ALRG,1044119
ALRT,1087022
ALRX,1114936
ALSC,913293
ALSK,1089511
ALSM,1264388
ALSN,1411207
ALSO,1421538
ALTE,1141719
ALTH,1097264
ALTI,1016546
ALTM,949244
ALTO,1430124
ALTR,768251
ALTU,1340744
ALTV,104777
ALU,846538
ALV,1034670
ALX,3499
ALXA,1344413
ALXN,899866
ALY,3982
ALYI,1126003
AM,5133
AMAC,700721
AMAG,792977
AMAR,1014763
AMAS,1023198
AMAT,6951
AMB,1045609
AMBA,1280263
AMBB,1040491
AMBE,276750
AMBI,1131543
AMBK,1163747
AMBS,1424812
AMBT,1047919
AMC,878774
AMC,1411579
AMCC,711065
AMCE,774517
AMCF,1469606
AMCG,1435772
AMCI,350193
AMCM,1343009
AMCP,1009667
AMCX,1514991
AMD,2488
AMDR,1130781
AME,1037868
AMEC,1318820
AMED,896262
AMEH,1083446
AMEN,1037599
AMEV,1111312
AMF,838133
AMFC,915393
AMFE,788340
AMFI,714756
AMFM,894972
AMFS,1105949
AMG,1004434
AMGI,1344708
AMGIA,61442
AMGN,318154
AMGO,1109504
AMGTI,1534155
AMH,1051717
AMH,1562401
AMHI,854862
AMI,817161
AMIC,97196
AMID,1513965
AMIE,946842
AMIN,1073146
AMIS,1161963
AMK,766430
AMKR,1047127
AMKR,1361566
AML,914724
AMLH,1124197
AMLJ,1003640
AMLM,1356371
AMLN,881464
AMM,841866
AMMD,1114200
AMMY,826444
AMN,790730
AMNB,741516
AMNB,771944
AMNL,8328
AMNM,1069389
AMNN,799414
AMNT,1035744
AMO,928609
AMOT,46129
AMP,820027
AMPD,1016151
AMPD,1425287
AMPE,1138593
AMPE,1411906
AMPH,724024
AMPI,1292521
AMPL,731859
AMPX,887433
AMRA,1103086
AMRB,1108236
AMRC,1488139
AMRI,1065087
AMRN,897448
AMRN,1120246
AMRS,1100747
AMRS,1365916
AMRZ,1430415
AMS,744825
AMSC,880807
AMSE,1052994
AMSF,879957
AMSF,1018979
AMSG,895930
AMSI,1099674
AMSN,1141880
AMST,907033
AMST,1360479
AMSU,1142801
AMSV,1307701
AMSWA,713425
AMSY,310624
AMT,1053507
AMTA,741559
AMTC,1064015
AMTD,1173431
AMTG,1515980
AMTN,1250485
AMTU,1017797
AMTY,945828
AMU,897513
AMV,927102
AMV,1393816
AMW,1041580
AMWD,794619
AMWI,1495191
AMWW,1094363
AMXC,944248
AMXG,1273507
AMY,913957
AMZ,878897
AMZB,1088781
AMZG,1282613
AMZN,1018724
AMZZ,1518548
AN,350698
ANAC,1411158
ANAD,940332
ANAT,904163
ANCB,1448301
ANCC,944163
ANCPA,6260
ANCS,4811
ANCV,1500122
ANCX,1176316
AND,6494
ANDE,821026
ANDS,1128495
ANDW,317093
ANE,1046002
ANEN,6314
ANF,1018840
ANFC,1490161
ANGI,1491778
ANGN,815093
ANGO,1275187
ANH,1047884
ANII,913614
ANIK,898437
ANIP,1023024
ANL,804138
ANLT,753048
ANLY,6292
ANN,874214
ANNB,1041429
ANNO,1415917
ANPI,1096481
ANPZ,1452872
ANR,1051628
ANR,1310243
ANS,1011696
ANSH,1496690
ANSI,351721
ANSR,1057379
ANSS,1013462
ANST,849433
ANSW,1283073
ANT,1090709
ANT,1163842
ANTH,1316175
ANTL,6732
ANTP,724267
ANTS,796655
ANTX,1097575
ANV,1376610
ANVS,353681
ANX,1160308
AOB,1090514
AOBGI,1120916
AOC,315293
AOD,1379400
AOF,834933
AOGC,1080634
AOGS,918573
AOHO,944020
AOI,939930
AOIL,1081074
AOIX,1544400
AOL,1468516
AOLA,1100395
AOLS,1261734
AOME,1395005
AONE,1167178
AOOR,1048237
AOR,1033523
AORGB,3753
AOS,91142
AOSL,1387467
AOT,824803
AOTL,17544
AP,6176
APA,6769
APAB,1019883
APAC,949297
APAG,311471
APAM,1517302
APB,795618
APC,773910
APCC,835910
APCS,1120102
APCU,1354003
APD,2969
APDN,744452
APDR,1295923
APEI,1201792
APEX,1500861
APF,919808
APFC,35083
APFC,350832
APGE,724915
APGI,932699
APH,820313
APHD,1490054
APHG,1096653
APHT,840319
APHY,1100592
API,869986
APII,747435
APKT,1130258
APL,1092914
APLL,1040721
APLX,932112
APN,217084
APNB,1167419
APNI,4164
APNO,830736
APNS,872947
APO,1065645
APO,1411494
APOG,6845
APOL,929887
APP,1336545
APPA,818033
APPB,853665
APPLIED,1346352
APPX,1141399
APQCF,949577
APRJ,1114098
APRO,1175167
APRS,1098803
APSG,741696
APSP,705868
APT,884269
APT,1025637
APTD,1076462
APTI,1114973
APTM,1087277
APTS,1481832
APU,932628
APWR,1399233
APX,817998
APXG,1429684
APXR,742248
APXWF,1260625
APY,712815
AQA,1114655
AQAS,1213111
AQCI,1081242
AQIS,920854
AQNM,918997
AQNT,1071806
AQQ,1121783
AQRO,1023367
AQSP,1391135
AQUM,1381324
AQVB,1068104
AQWT,1348104
AR,1433270
ARAO,1083922
ARAY,1138723
ARB,109758
ARBA,1084755
ARBC,1311953
ARBE,710782
ARBR,7059
ARBX,1136655
ARC,1305168
ARCC,1287750
ARCI,862861
ARCL,1470699
ARCP,1507385
ARCT,1410997
ARCW,826326
ARCX,1583744
ARD,1123871
ARDC,1515324
ARDI,1109537
ARDM,1013238
ARDNA,225051
ARE,1035443
ARES,876490
ARET,820901
AREX,1405073
ARF,1327228
ARF,1343668
ARG,804212
ARGA,1072313
ARGL,1332585
ARGN,903129
ARHN,812482
ARI,1013794
ARI,1467760
ARIA,884731
ARII,1344596
ARIS,879796
ARJ,1072343
ARK,896665
ARKN,925662
ARKR,779544
ARL,827165
ARL,1102238
ARLP,1086600
ARMC,1303163
ARME,1211768
ARMF,814339
ARMF,1572280
ARMK,1584509
ARMX,1415543
ARNA,1080709
ARNI,1195116
ARO,1168213
AROC,1397951
AROU,891705
AROW,717538
ARP,1532750
ARPI,1548981
ARQL,1019695
ARR,1428205
ARRI,1427433
ARRO,886046
ARRS,1141107
ARRY,1100412
ARS,202890
ARSC,1085069
ARSD,7039
ARST,1368582
ART,1419178
ARTB,1129458
ARTC,1005010
ARTD,1095079
ARTE,1351197
ARTG,1086195
ARTH,1537561
ARTI,1048982
ARTI,1168738
ARTL,790071
ARTNA,863110
ARTW,7623
ARTX,916529
ARUN,1173752
ARUR,752391
ARUZ,810208
ARVT,772320
ARW,7536
ARWD,795255
ARWM,61494
ARWR,879407
ARX,1487990
ARXG,1037049
ARXT,1319439
ARXX,2601
ARYX,1410064
ASA,7645
ASA,1230869
ASAA,793961
ASAM,8497
ASAP,1104174
ASAP,1339854
ASB,843494
ASBB,1520300
ASBC,7789
ASBH,1230833
ASBI,855574
ASBP,944304
ASCA,912145
ASCL,799089
ASCM,763245
ASCMA,1437106
ASCX,1095583
ASD,836102
ASDI,1311735
ASDP,1073874
ASE,73942
ASEI,5768
ASEJF,1027229
ASEJF,1027240
ASEN,1349976
ASFE,1064025
ASFI,1001258
ASFT,877931
ASG,786035
ASGN,890564
ASGR,877476
ASH,7694
ASH,1305014
ASHC,1120521
ASHN,1009891
ASHW,810774
ASHW,820774
ASI,783603
ASIA,1100969
ASIQ,1067873
ASIT,7951
ASKE,1460290
ASKH,1511161
ASKJ,1054298
ASM,1319849
ASN,80737
ASN,1156826
ASNA,1498301
ASNB,1011060
ASND,1373479
ASNT,913598
ASO,3133
ASO,1409741
ASP,878930
ASPE,1021917
ASPM,886235
ASPN,319458
ASPR,1158235
ASPS,1462418
ASPT,779390
ASPU,1487198
ASPV,1314026
ASPW,1424640
ASPXQ,860749
ASPZ,1070789
ASRS,1393526
ASRV,707605
ASST,1160798
ASTC,1001907
ASTE,792987
ASTI,1063293
ASTI,1350102
ASTM,887359
ASTR,1099066
ASTV,1432967
ASUR,884144
ASUV,1404935
ASV,875354
ASVI,926763
ASWT,1001516
ASWV,1441649
ASXHTW,1389072
ASXI,8038
ASYS,720500
ASYT,909326
AT,65873
AT,1419242
ATA,823876
ATAC,933405
ATAHQ,898904
ATAR,1002607
ATAXZ,1059142
ATB,1305507
ATBC,1087790
ATC,1157758
ATCI,1192494
ATCO,924383
ATEA,945989
ATEC,1350653
ATEG,878547
ATEK,885520
ATER,1310630
ATGI,710807
ATGN,1003607
ATHL,1574648
ATHN,1131096
ATHO,1136331
ATHR,1140486
ATI,1018963
ATK,866121
ATL,792449
ATLC,1464343
ATLO,1132651
ATLRS,948975
ATLS,1279228
ATLS,1283810
ATLS,1294208
ATLS,1294476
ATLS,1335236
ATLS,1336339
ATLS,1342514
ATLS,1347218
ATLS,1357361
ATLS,1374985
ATLS,1379763
ATLS,1399541
ATLS,1399542
ATLS,1432987
ATLS,1433833
ATLS,1487561
ATMI,1041577
ATML,872448
ATMR,8302
ATMS,842695
ATN,892147
ATN,1368802
ATNI,879585
ATNM,1388320
ATNY,108107
ATO,731802
ATOC,1269022
ATOS,1488039
ATPG,1123647
ATPT,745543
ATR,896622
ATRC,1323885
ATRI,701288
ATRM,908598
ATRO,8063
ATRS,1016169
ATRS,1139650
ATRX,809875
ATSG,894081
ATSI,824068
ATSN,23071
ATSX,1014052
ATTG,1071157
ATTU,893821
ATU,6955
ATVG,860543
ATVG,860554
ATVI,718877
ATW,8411
ATWO,1074436
ATX,25793
ATXG,1278263
AUAG,1289046
AUBN,750574
AUCAF,1061288
AUDC,1086434
AUDY,815353
AUGB,859792
AUGC,1004605
AUGME,1137204
AUGR,8598
AUGT,1063527
AULN,1145328
AULO,1295803
AULT,723639
AUM,1011509
AURM,1450708
AURMF,1117073
AUSE,1382943
AUSI,826253
AUTH,1138830
AUTO,351017
AUUM,1366899
AUXL,1182129
AUXO,1011432
AV,1116521
AVA,104918
AVAN,744218
AVAV,1368622
AVB,915912
AVCA,919956
AVCC,737243
AVCS,315428
AVCT,1109808
AVD,5981
AVDI,1054825
AVDS,1095792
AVEO,1325879
AVG,1528903
AVGG,1119046
AVGN,932903
AVGO,1441634
AVHI,39677
AVID,896841
AVIT,1048701
AVIV,1499686
AVK,1219120
AVL,701650
AVMD,1096620
AVNA,354699
AVNC,1161924
AVNF,1405045
AVNR,858803
AVNT,878802
AVNU,1100006
AVNW,1377789
AVNX,1056794
AVNY,1125051
AVOC,316537
AVOX,1096656
AVP,8868
AVPA,1323639
AVPN,930817
AVR,1358110
AVRC,823314
AVRT,710217
AVRW,1285043
AVRX,1162192
AVSO,852437
AVSR,1111632
AVSY,707063
AVT,8858
AVTC,1431888
AVTD,1405249
AVTI,814008
AVUG,1094847
AVVC,1416299
AVVW,1092534
AVWI,789667
AVX,859163
AVXT,1015441
AVY,8818
AVZA,1311396
AW,848865
AWA,1029863
AWAY,1366684
AWBC,726990
AWE,1138234
AWEC,1162200
AWF,906013
AWG,890881
AWGI,927914
AWH,1163348
AWI,7431
AWIN,915390
AWK,1410636
AWLD,1089531
AWMM,1359504
AWNE,1265840
AWP,1390195
AWR,1056903
AWRCF,1026980
AWRE,1015739
AWSR,867687
AWWC,1048422
AWX,1061069
AX,1107389
AXAS,867665
AXC,1374796
AXDX,727207
AXE,52795
AXG,1413609
AXGR,788738
AXIM,1514946
AXIO,1399095
AXJ,1113643
AXL,1062231
AXLE,1002577
AXLL,805264
AXLX,1470177
AXO,947427
AXP,4962
AXPW,1028153
AXR,6207
AXRX,45621
AXS,1214816
AXSI,710597
AXST,1092492
AXTG,1386262
AXTI,1051627
AXTV,1015172
AXVC,1144130
AXYS,206030
AYA,1378451
AYE,3673
AYI,1144215
AYN,1162030
AYR,1362988
AYSI,1127454
AZGS,789606
AZMNE,851726
AZO,866787
AZOI,1099561
AZPN,356942
AZPN,929940
AZRI,1093673
AZTAU,1518749
AZTC,1055458
AZTR,852807
AZUR,1000897
AZZ,8947
B,9984
BA,12927
BAAP,1529139
BAAP,1529140
BAAP,1529141
BAAP,1529142
BAAPMASTER,1529138
BABB,1123596
BABL,1345865
BABY,878526
BAC,70858
BACL,1119700
BAF,1181026
BAFI,1133409
BAGL,949373
BAH,1443646
BALT,1474042
BAMM,891919
BANC,1169770
BANF,760498
BANJ,1481504
BANR,946673
BANX,1578987
BANY,1086473
BARA,764897
BARE,1295557
BARI,1109525
BARS,1372334
BARZ,878483
BARZ,1454124
BAS,1109189
BASI,720154
BATP,845851
BATS,1068231
BATS,1519917
BAWC,1171689
BAX,10456
BAXS,1134224
BAXS,1230355
BAYK,1034594
BAYN,1089787
BAYW,806175
BBA,96287
BBAL,1018354
BBBB,1106942
BBBI,1335792
BBBY,886158
BBCN,1128361
BBCZ,1178552
BBDC,1021009
BBDS,1157004
BBEP,1357371
BBF,1137392
BBG,1172139
BBGI,1099160
BBGR,1409477
BBI,1085734
BBIC,1126577
BBJE,839439
BBK,1167467
BBLF,748268
BBLS,1368637
BBLU,1422109
BBN,1493683
BBND,1381325
BBNK,1304740
BBOX,849547
BBR,15840
BBRD,1396302
BBRG,1495479
BBSE,1176193
BBSI,902791
BBT,92230
BBUC,1009652
BBVVF,1415586
BBW,1113809
BBX,921768
BBY,764478
BC,14930
BCAE,1383852
BCAR,1365997
BCAS,814929
BCBP,1228454
BCC,1328581
BCEI,1509589
BCF,718916
BCF,1368893
BCFT,1170103
BCGI,1012887
BCHP,889285
BCII,1009405
BCIS,276400
BCK,1181027
BCKE,949721
BCL,1176196
BCLI,1137883
BCLR,1381873
BCLX,1496741
BCO,78890
BCON,1103345
BCOV,1313275
BCP,1082084
BCPC,9326
BCR,9892
BCRA,919605
BCRH,1582086
BCRX,882796
BCSB,1052101
BCSB,1391137
BCSI,1095600
BCST,740726
BCT,892789
BCTI,351541
BCTS,1099353
BCV,9521
BCX,1506289
BCXP,1310685
BCYP,1399587
BDAY,1100124
BDBD,1331301
BDC,913142
BDCG,1179090
BDCN,1065598
BDCO,793306
BDE,1022844
BDE,1304069
BDF,30125
BDFHD,1418196
BDG,9534
BDGE,846617
BDJ,1332283
BDK,12355
BDL,12040
BDLSQ,837472
BDMS,948072
BDN,790816
BDOG,1019439
BDR,1000683
BDSI,1103021
BDT,1277350
BDTY,1341259
BDV,1265316
BDVM,73048
BDX,10795
BDY,864268
BE,1113247
BEAC,1122063
BEAI,1285206
BEAM,789073
BEAR,912960
BEAS,1031798
BEAT,1113784
BEAT,1574774
BEAV,861361
BEBE,1059272
BEC,840467
BECN,1124941
BED,910079
BEE,1057436
BEES,1432139
BEIQ,1041866
BELFB,729580
BELM,900708
BELV,1399761
BEMG,1452164
BEN,38777
BEO,1307155
BEO,1331948
BEOSZ,895921
BER,11544
BER,1438884
BERK,759718
BERX,1229089
BERY,919463
BERY,1378992
BESN,1387983
BETM,1005214
BEV,1040441
BEVI,1020477
BEXP,1034755
BEYS,1397346
BEYV,1005502
BEZ,9342
BFAM,1060559
BFAM,1437578
BFB,14693
BFBC,1302176
BFC,890514
BFCF,315858
BFD,948515
BFD,1386369
BFED,1401573
BFEN,814856
BFFI,1366925
BFGC,1448597
BFIN,1303942
BFK,1137393
BFLY,1030896
BFNB,949228
BFO,1181249
BFRE,1370489
BFRM,1282393
BFS,907254
BFSB,1310313
BFSO,1495648
BFT,770944
BFTC,350200
BFUN,1132809
BFY,1176197
BFZ,1137391
BG,1144519
BGAT,768216
BGB,1504234
BGB,1546429
BGBR,1354213
BGC,886035
BGCP,1094831
BGCP,1382519
BGCT,1089272
BGEM,1444377
BGEN,714655
BGF,1278027
BGFV,1156388
BGG,14195
BGH,1359055
BGH,1521404
BGHM,1119897
BGII,355590
BGLA,1174741
BGMD,1407038
BGMR,1012466
BGNK,754128
BGP,940510
BGR,1306550
BGRH,706777
BGRN,1160598
BGSI,1441362
BGT,1287480
BGY,1393299
BHAG,801128
BHB,743367
BHB,889608
BHBC,1024321
BHBH,857872
BHD,1165216
BHE,863436
BHI,808362
BHIP,912061
BHK,1160864
BHL,1412914
BHLB,1108134
BHMSQ,11860
BHRT,1388319
BHS,1202157
BHV,1169034
BHWX,1349371
BHY,1068234
BI,945489
BIBO,1127242
BICL,1451980
BICO,1062431
BID,823094
BIE,1169028
BIEL,1320869
BIF,102426
BIG,768835
BIGR,1087853
BIIB,875045
BIMS,1083146
BIND,1385228
BIO,12208
BIO,1475430
BIOA,1534287
BIOD,1322505
BIOF,1373670
BIOI,860451
BIOL,811240
BIOQ,719711
BIOS,101473
BIOS,1014739
BIOV,1264899
BIPH,1084000
BIR,1178862
BISN,1494722
BIT,1562818
BITI,822418
BITS,818813
BIVN,1028205
BIW,1169237
BIZ,1085866
BIZM,1438576
BJ,1037461
BJCT,810084
BJGP,1281696
BJRI,1013488
BJS,864328
BJZ,1159038
BK,9626
BK,1390777
BKBK,707604
BKBOE,735993
BKC,1352801
BKCT,1499361
BKD,1332349
BKE,885245
BKEP,1392091
BKFG,9235
BKGM,1527383
BKH,1130464
BKHB,857853
BKI,899597
BKJ,1390312
BKK,1181250
BKLYY,891377
BKMM,1223550
BKMU,1123270
BKN,894242
BKOR,1398006
BKR,9263
BKRS,1171032
BKS,890491
BKSC,1007273
BKSD,1367001
BKST,830134
BKT,832327
BKTK,1350770
BKU,1504008
BKUNA,894490
BKW,1547282
BKYF,934547
BKYI,1019034
BL,71525
BLAK,1174907
BLAP,1299059
BLBK,1423107
BLC,356080
BLD,805792
BLDR,1316835
BLE,1176194
BLF,1255145
BLFE,899049
BLFS,834365
BLGA,1102358
BLGO,880242
BLGW,1446727
BLGX,1510775
BLH,1159039
BLHL,1139683
BLIN,1378590
BLJ,1169031
BLK,1060021
BLK,1364742
BLKB,1280058
BLL,9389
BLLD,1193158
BLLI,840573
BLMN,1546417
BLMT,726294
BLMT,1522420
BLN,890519
BLNM,1077637
BLOG,1175685
BLOX,1223862
BLQN,1169440
BLRGZ,12779
BLRV,1168458
BLS,732713
BLSC,355007
BLSH,225926
BLSI,94784
BLSM,1392121
BLSP,1419582
BLSV,1103092
BLT,1001606
BLTA,869187
BLTV,1104594
BLU,810439
BLUD,736822
BLUE,1077814
BLUE,1293971
BLUG,1365748
BLVT,317889
BLW,1233681
BLXX,1428389
BMBM,924805
BMC,835729
BMCP,80751
BME,1314966
BMER,314712
BMET,351346
BMGX,1162177
BMHC,1046356
BMI,9092
BMKS,1011972
BMLS,15486
BMM,215310
BMM,1275477
BMN,877358
BMOD,1058767
BMOM,1307579
BMPI,1062273
BMR,1289236
BMRA,73290
BMRB,804563
BMRC,1403475
BMRN,1048477
BMS,11199
BMSN,1079282
BMSR,793041
BMT,882346
BMTC,802681
BMTI,1138400
BMTL,1443062
BMVH,1082492
BMXI,1122993
BMY,14272
BN,9801
BNA,880280
BNBI,1543272
BNBN,1069665
BNCC,945434
BNCL,1378020
BNCN,1210227
BNE,13610
BNET,875729
BNFT,1576169
BNGOF,1318482
BNHN,935226
BNI,934612
BNJ,1137440
BNK,829750
BNK,1304994
BNNY,1431897
BNO,1472494
BNP,812150
BNSXA,14637
BNT,821616
BNY,1137390
BNZA,1425289
BNZE,1041177
BOBE,33769
BOBJ,928753
BOBS,914537
BOCH,702513
BOCT,1026215
BOCX,1092562
BODY,1379246
BOE,1320375
BOFI,1299709
BOFL,1082368
BOGA,1291983
BOGN,908517
